% Title : Training set 200 positives and 200 negatives, balance 1.0.
% Description : A training set.

@RELATION Train_200_200_1.0

@attribute Profile_mean numeric
@attribute Profile_stdev numeric
@attribute Profile_skewness numeric
@attribute Profile_kurtosis numeric
@attribute DM_mean numeric
@attribute DM_stdev numeric
@attribute DM_skewness numeric
@attribute DM_kurtosis numeric
@attribute class {0,1}
@DATA
44.390625,48.1873353394,2.7537437714,7.1435310203,81.5822679924,57.6107000347,0.5089153011,-0.4370809175,1
39.390625,38.1541352557,4.2093832363,19.4378038961,72.1687973485,42.5181769493,1.0094008228,0.8543105588,1
14.15625,39.8627405723,5.078888545,25.3023238048,59.7217092803,45.5457109122,0.8049244401,0.5640738457,1
17.828125,43.0434209141,4.2302363352,17.3803832318,71.9955290611,46.4866852175,1.1514481666,1.3099117987,1
39.453125,44.1930882914,3.1682600109,10.5048690438,116.282131661,58.9902036078,0.2005970321,-0.7157090292,1
72.515625,50.5661671067,1.9453758397,3.9351544334,92.7340425532,54.580917828,0.6217730279,0.0339580601,1
54.421875,51.1599222682,2.6315445138,7.0991341621,90.1850941851,48.5394557268,1.0003149205,0.8706659662,1
16.765625,50.5249759363,3.7050516769,12.6742471341,82.2426609848,49.5962683802,0.9255575659,0.6524834618,1
51.859375,36.4866701634,3.7687900789,17.1897836715,76.7400932401,40.0390209941,0.4761086144,0.9465791465,1
22.734375,48.2711230277,3.5617116247,12.2864402795,95.5522727273,56.454804887,0.7613345571,-0.2246445317,1
43.796875,39.1300634453,3.6054768316,14.8070073253,65.3034759358,45.0742719067,1.410646235,2.116684356,1
47.484375,38.0665503541,3.2848385588,13.6353217227,57.214941624,44.5000362123,1.4828980452,1.6841701947,1
38.796875,33.5634565448,4.4173592418,24.8061087286,60.6035940803,44.6557699335,1.6228732227,2.9824197139,1
78.984375,48.4285853692,1.7969781976,3.2726883352,84.6208425721,45.9781953868,1.232496374,1.4680849424,1
21.8125,42.6255040293,3.989419114,16.4425426215,98.6060606061,53.2470369237,0.5045772256,-0.1696289408,1
56.328125,35.0856339402,3.3854265457,15.74862504,56.0830965909,38.2998160238,1.8478685547,4.2744308154,1
30.9375,45.4748814594,3.1389611402,10.1961947533,108.336969697,58.0752836638,0.4334517347,-0.5232783633,1
70.984375,34.7092801835,2.8172161816,12.414101268,55.5085995086,33.8674387399,1.9158286351,5.2882507158,1
89.5625,60.6366934599,0.7523482427,-0.3585518049,156.206773619,59.3467010256,-0.6525835301,-0.6573061233,1
78.5625,51.3690309793,1.3451167824,2.2990856943,96.5567375887,61.2669416673,0.3798475816,-0.8670999112,1
21.9375,37.9987150276,4.4554360791,21.5909666256,94.5319459657,48.8949927841,0.6850281808,0.1613468674,1
72.78125,83.3761185738,1.0387584838,-0.6772091825,153.778730703,72.0955641162,-0.4912105583,-0.9704489282,1
34.078125,36.9680202538,4.2753718846,20.8571258473,63.8862452652,44.4287842027,0.9784472217,0.6664918941,1
17.0625,32.7427830789,6.2640633651,41.203381874,62.4522144522,40.2292026044,1.2712708477,2.4655227354,1
23.140625,47.1781421806,3.6907387586,13.0448064186,90.7055692056,53.2980405247,0.7085182842,0.0810729822,1
55.109375,44.0213432565,2.6526222936,8.538790772,83.065530303,42.5007204184,1.4676385203,2.2847156585,1
39.515625,34.1938372497,4.1817610301,22.7498210824,76.5012855831,32.4924749104,1.0214000324,3.5522832126,1
34.359375,42.8556323557,3.4652527947,12.2944120797,102.506552007,54.3569827207,0.3891970038,-0.1753401641,1
67.328125,36.4177389329,2.4995531495,10.2922981987,94.4696969697,51.3089207359,0.5153959673,-0.2523041841,1
70.546875,36.8476295402,2.1670873757,8.6658460697,71.0566706021,37.5216418696,1.0998628406,2.1525505889,1
